一个女人正走在街对面吃香蕉，而一个男人正紧跟在他的公文包后面。	一个女人吃了一根香蕉，穿过一条街，有一个男人跟在她后面。	1
一个女人正走在街对面吃香蕉，而一个男人正紧跟在他的公文包后面。	一个吃香蕉的女人穿过街道	1
一个女人正走在街对面吃香蕉，而一个男人正紧跟在他的公文包后面。	这个人的公文包是工作用的。	0
一个人正领着一辆克莱德斯代尔(Clydesdale)走上一条干草路，在一个古老的乡村。	一个穿灰色西装的女人在喝茶。	0
两个女人，拿着带食物的容器，抱着。	两组敌对帮派成员互相吹毛求疵。	0
骑着马的人跳过一架坏了的飞机。	一个人在户外，骑着一匹马。	1
高级时装女士们在城市里一群人旁边的电车外等着。	女人不在乎她们穿什么衣服。	0
一个人正领着一辆克莱德斯代尔(Clydesdale)走上一条干草路，在一个古老的	一个人正带着他的马走在乡间的路上。	1
前景是白色的女人，后面是一个稍微落后的男人，背景是约翰的比萨和陀螺仪的标志。	那个女人在等一个朋友。	0
几个人在餐馆里，其中一个是喝橙汁。	食客们在一家餐馆里。	1
前景是白色的女人，后面是一个稍微落后的男人，背景是约翰的比萨和陀螺仪的标志。	一个男人在为一家餐馆做广告。	1
前景是白色的女人，后面是一个稍微落后的男人，背景是约翰的比萨和陀螺仪的标志。	标牌的那个人是白种人。	0
一个金发的男人，穿着一件棕色的衬衫，在公共饮水机里喝着水。	一个金发男人从喷泉里喝的水。	1
用马和马车在花园里施肥的农民。	这个人正在给他的花园施肥。	1
等着上火车或刚下车的人。	有人刚上火车	1
高级时装女士们在城市里一群人旁边的电车外等着。	这些女人喜欢有很好的时尚感。	0
两个刚刚吃过午饭的女人拥抱和道别。	这两位朋友20年来第一次见面，在一起的日子过得很愉快。	0
一个人正领着一辆克莱德斯代尔(Clydesdale)走上一条干草路，在一个古老的	一个戴着草帽和工作服的人正和他的马在乡间小路上散步。	0
一男一女在一家比萨饼和陀螺仪餐厅前穿过街道。	在几家餐馆附近，两个人穿过街道。	1
学校正在举办一个特别的活动，以展示美国文化如何在聚会中处理其他文化。	学校举办篮球比赛。	0
一个穿白衣服吃东西的女人，走在一个拿着公文包的男人旁边。	一对已婚夫妇正挨着走。	0
用马和马车在花园里施肥的农民。	那人带着他的马和马车在城里的大街上。	0
一对夫妇和他们的小儿子在潮流中嬉戏。	一家人在外面。	1
两个刚刚吃过午饭的女人拥抱和道别。	这张照片里有两个女人。	1
一匹白马拉着一辆手推车，而一个人站着看着。	一匹马在拖货物。	0
一个穿着绿色夹克，头上戴着兜帽的女人正朝山谷望去。	那个女人穿绿色衣服。	1
男人、女人和孩子在海滩上玩得很开心。	一个孩子和爸爸妈妈，在海滩上度暑假。	0
用马和马车在花园里施肥的农民。	那人在一片空地上，有一匹马和一辆马车。	0
两名成年人，一名穿白色的女性，带着阴影，一件男性的灰色衣服，穿过一条街，远离一家餐厅，餐厅的前景是一个深红衬衫的人形象模糊。	照片上没有女人。	0
骑着马的人跳过一架坏了的飞机。	有人在餐厅点煎蛋。	0
两名成年人，一名穿白色的女性，带着阴影，一件男性的灰色衣服，穿过一条街，远离一家餐厅，餐厅的前景是一个深红衬衫的人形象模糊。	有些人上了火车。	0
在下午的比赛中，一支小联盟队试图抓住一名跑者滑进一个垒。	一支球队正试图赢得比赛的胜利。	0
一个穿着绿色夹克，头上戴着兜帽的女人正朝山谷望去。	那女人是内鬼。	0
前景是白色的女人，后面是一个稍微落后的男人，背景是约翰的比萨和陀螺仪的标志。	他们在首都外抗议。	0
几个人在餐馆里，其中一个是喝橙汁。	人们在吃煎蛋。	0
一匹白马拉着一辆手推车，而一个人站着看着。	一个人在看赛马。	0
一匹白马拉着一辆手推车，而一个人站着看着。	一只动物走在外面。	1
前景是白色的女人，后面是一个稍微落后的男人，背景是约翰的比萨和陀螺仪的标志。	女人和男人都在户外。	1
两个刚刚吃过午饭的女人拥抱和道别。	朋友们在一张丰盛的餐桌上怒目而视。	0
